"table_name","index_name","columns","index_type","is_unique"
"donations","idx_donations_date","date","B-tree","NO"
"donations","idx_donations_donorid","donorid","B-tree","NO"
"donations","idx_donations_donorname","donorname","B-tree","NO"
"items","idx_items_donationid","donationid","B-tree","NO"
"items","idx_items_expirydate","expirydate","B-tree","NO"
"items","idx_items_food_expiry","foodn, expirydate","B-tree","NO"
"items","idx_items_foodname","foodn","B-tree","NO"
"items","idx_items_quantity","quantity","B-tree","NO"
"requests","idx_requests_date","date","B-tree","NO"
"requests","idx_requests_itemid","itemid","B-tree","NO"
"requests","idx_requests_recipient_date","recipientid, date","B-tree","NO"
"requests","idx_requests_recipientid","recipientid","B-tree","NO"
"users","idx_users_email","email","B-tree","NO"
"users","idx_users_email_unique","email","B-tree","YES"
"users","idx_users_name","name","B-tree","NO"
"users","idx_users_userid","userid","B-tree","NO"
